#{"t_start": 1777893224.684507, "env_id": "None"}
r,l,t
1528.963788,98,11.306105
2588.254731,86,11.410564
-498.688283,37,11.451752
2469.389952,110,11.576787
2373.744797,100,11.693579
2894.704414,128,11.841126
-553.973245,50,11.915586
-451.293868,44,11.964186
2103.827307,76,12.05592
1732.620101,57,12.121724
1927.83553,61,21.06119
1365.240271,49,21.146121
1992.883669,81,21.265293
3255.013498,122,21.419816
2001.746732,68,21.503256
2017.60205,75,21.586035
3107.736652,146,21.753472
2209.020347,84,21.849553
2266.904097,99,21.965281
3000.304934,128,22.113252
2689.261383,135,30.293185
-551.201081,38,30.335562
2246.584892,95,30.444431
2085.138623,95,30.553194
2471.120242,109,30.690765
3358.164506,181,30.913027
2957.506932,134,31.065744
-508.175428,32,31.107905
1843.302404,81,31.203424
-407.983947,43,31.268553
1348.970996,44,40.329406
1194.181953,40,40.373313
1777.003326,72,40.45568
-160.702711,60,40.528436
2635.378595,100,40.647166
1737.232969,86,40.744959
1455.691139,54,40.806354
1985.002813,83,40.907404
3245.622602,123,41.046677
-737.188987,21,41.070065
289.678321,69,51.971679
1747.059251,66,52.048605
2608.361818,112,52.178426
2100.225477,141,52.34293
1842.431258,70,52.419625
-590.395959,32,52.459033
2444.583889,82,52.553423
1395.128965,49,52.615874
1708.264304,72,52.696992
1587.327842,58,52.776354
3079.916248,110,61.693846
1912.730023,82,61.788819
2265.297308,94,61.902117
3079.940948,141,62.065712
2182.468806,100,62.18683
2918.830708,134,62.353833
1464.165136,53,62.41396
1737.403324,61,62.485003
2194.51232,89,62.587165
1176.377191,45,62.637217
445.618852,97,71.258698
3362.29105,152,71.499428
804.39338,60,71.58915
1830.864155,97,71.747112
2071.379524,88,71.879213
3477.304472,138,72.114799
2559.1842,111,72.297784
1632.669938,58,72.386649
-350.833272,42,72.458289
-657.169205,30,72.517756
3133.59732,138,80.90731
-615.081929,35,80.950686
2168.959444,91,81.054087
2409.219758,140,81.251426
1320.537364,95,81.364956
1414.246815,55,81.434866
2202.163654,96,81.543855
3469.309813,157,81.721368
1989.89135,77,81.82609
1409.122953,93,81.93339
1267.115083,69,90.826064
1948.85377,96,90.935623
419.914586,75,91.024578
3036.178098,153,91.196221
634.160622,105,91.322284
2436.454223,95,91.431326
1216.97979,42,91.47856
2341.070807,108,91.623953
-807.178272,27,91.653812
2420.654099,128,91.814055
2537.253955,104,102.853038
1802.309383,97,102.966825
1385.197036,78,103.060908
999.851152,89,103.167253
-831.079841,22,103.195271
2885.186001,106,103.325756
-798.857992,29,103.364433
3613.454216,161,103.558373
2791.13753,100,103.677122
1472.766228,55,103.737835
1959.109773,89,112.782563
1846.480377,67,112.861322
