#{"t_start": 1777901893.9573681, "env_id": "None"}
r,l,t
-754.281937,27,8.18771
1910.236819,157,8.382674
1461.811471,100,8.49654
382.107488,79,8.590546
2868.748144,137,8.745708
1303.458766,45,8.800868
-807.130079,41,8.846427
1826.924236,97,8.956
1757.738279,106,16.409456
2097.074102,88,16.514567
76.441576,95,16.697224
-451.472413,50,16.788102
-719.683267,33,16.843922
2645.430271,148,17.133587
2348.534453,101,17.306324
1901.732373,76,17.424283
1168.461779,42,25.323771
3054.504654,134,25.480734
-697.054422,49,25.537859
551.154179,73,25.619256
2919.765125,132,25.777842
2666.364058,140,25.93645
655.844378,103,26.060348
448.895034,75,26.162441
1238.559394,111,34.249673
102.162357,63,34.324435
1815.050941,87,34.42658
-892.847868,36,34.471143
-738.130323,23,34.497266
1859.357741,71,34.586065
-128.286435,78,34.686313
1227.902997,39,34.734162
1496.010024,73,41.807989
1882.84512,68,41.900205
-842.181483,25,41.928362
984.396649,75,42.013939
-724.337169,32,42.049576
1583.740804,100,42.188522
-852.137845,33,42.225616
3165.443743,173,42.428627
761.03509,103,50.307031
-41.669525,63,50.399708
-864.256965,35,50.442994
2159.736366,88,50.550466
115.48622,82,50.647598
1456.911389,109,50.773991
-487.00456,49,50.833376
-378.370153,38,50.881328
1442.047964,43,58.632566
1085.362538,109,58.825901
1554.45455,100,58.989751
2416.370146,140,59.237283
1656.402964,108,59.429803
998.235144,64,59.530945
155.291484,93,59.642108
3085.437555,129,59.788114
2940.655664,144,66.911981
1045.988935,126,67.058777
2957.042112,154,67.251993
1210.478541,71,67.344775
2677.862974,102,67.464309
63.638961,57,67.528516
1789.784487,80,67.628459
173.421031,62,67.701655
-390.310933,44,75.543163
3562.986845,142,75.713088
2610.1184,106,75.834899
827.448686,46,75.886584
2433.311311,134,76.048193
363.708764,55,76.113615
1869.201131,75,76.197884
1868.157163,109,76.335682
-736.954758,28,83.854384
1038.323003,103,84.040241
2976.226643,124,84.259753
-282.201767,48,84.335239
2723.234474,124,84.538142
1817.089437,84,84.700269
2566.967785,102,84.882226
1709.335294,86,85.025382
-251.291235,52,92.273798
399.966581,78,92.386594
1331.022847,50,92.446934
3305.507739,129,92.606
-51.86835,55,92.672209
-253.75226,84,92.771551
3379.344978,131,92.92847
2764.874913,126,93.075175
3585.385562,136,101.079412
1732.05546,59,101.148401
2868.177002,122,101.286161
1387.725569,71,101.375784
1808.272322,93,101.481189
1476.020664,61,101.552915
2298.297187,148,101.728751
-656.671576,27,101.758924
2088.660009,102,108.944942
519.202524,109,109.119002
-455.192263,64,109.23939
3225.406862,148,109.471961
2049.668374,81,109.629792
-226.350503,51,109.725663
3051.063246,113,109.906551
1913.93108,102,110.063322
1984.615122,97,117.728098
1954.393857,99,117.847883
-349.680241,46,117.899528
1390.553166,79,117.998136
-162.829997,49,118.056949
2753.007161,127,118.205507
1762.633305,98,118.323742
2794.183698,137,118.483538
2865.054825,137,126.516924
-94.439728,54,126.581802
1729.181574,77,126.671811
-5.898603,78,126.762779
2624.866453,111,126.900148
3695.176936,146,127.06709
-823.392456,28,127.098655
2391.813356,82,127.219687
-863.444373,34,134.218345
-0.902775,55,134.285392
3515.580216,147,134.47893
-96.864899,57,134.546449
2254.491848,118,134.6832
-220.163572,48,134.740923
2815.645058,118,134.880331
3936.977958,173,135.174937
-69.002665,65,143.117834
3120.368174,152,143.302111
1524.696517,69,143.381308
3150.147497,188,143.599538
2756.626123,111,143.727629
-35.070329,62,143.79779
1439.249916,51,143.859118
-664.780809,27,143.889104
1454.480174,83,152.024873
1859.310794,130,152.172775
-20.696343,74,152.25748
-556.08149,45,152.316529
2266.03613,83,152.426955
2149.735883,86,152.527872
2478.795956,117,152.658916
1843.583754,122,152.804343
2320.297313,82,159.882816
2220.978276,87,159.986059
2416.255817,123,160.12973
1701.077133,56,160.195724
1457.2831,74,160.289124
2769.855797,139,160.449218
1203.934378,47,160.501626
2162.226293,106,160.627176
899.710921,78,168.811999
1783.672931,70,168.892363
2806.021394,141,169.055866
-218.340196,64,169.134945
98.411719,65,169.224039
1450.833258,67,169.3024
1497.331239,62,169.375054
-208.060066,43,169.435409
2736.469025,138,177.613758
1520.349641,88,177.728647
-727.952861,48,177.79302
2771.944488,106,177.915081
-684.043521,35,177.957804
2843.593476,112,178.087169
-453.05735,40,178.132202
-655.942506,42,178.183232
727.548876,51,185.371861
-738.523479,22,185.396509
-896.227808,21,185.419974
1905.568117,84,185.516413
3271.170204,169,185.714114
3451.392442,153,185.892095
