#{"t_start": 1777903206.291314, "env_id": "None"}
r,l,t
-487.943471,63,7.254162
-591.054567,50,7.332945
1244.696972,59,7.418105
1160.413215,109,7.5626
0.665388,91,7.691471
-324.667347,59,7.76608
-396.271415,49,7.830873
-1056.653721,24,7.869094
-578.699181,29,16.365161
-608.749223,34,16.421222
3248.856448,180,16.723906
1548.405113,135,16.973722
-767.562774,24,17.026288
1207.882604,122,17.268481
3440.791947,179,17.619826
-546.998371,35,17.707468
-917.578064,23,25.851545
2875.337199,150,26.056747
-971.057807,34,26.097627
-228.563852,50,26.16041
-984.719981,34,26.202033
2587.211768,156,26.42004
2475.78015,89,26.539569
-735.464528,26,26.57495
1917.5641,125,35.635458
-319.599037,73,35.726285
2565.449297,184,35.995478
3074.486864,160,36.197004
783.569596,63,36.278566
1684.647636,115,36.428042
2460.128612,128,36.593147
-530.35639,48,36.657084
-494.962814,120,45.864362
-658.44049,35,45.908762
3423.601154,188,46.145749
-231.938693,56,46.214273
562.680911,58,46.293785
-941.036866,28,46.327406
-865.434159,26,46.36509
-612.35055,60,46.443595
3407.297735,215,54.644421
-821.386401,20,54.676668
-985.014643,18,54.705649
-292.123474,62,54.79868
-620.378544,32,54.840033
-1141.422653,21,54.870732
-876.259931,43,54.943656
3123.04339,150,55.201116
-666.445498,69,64.249822
-950.286073,19,64.280313
-334.036781,39,64.339649
3342.211186,183,64.582381
-306.98733,51,64.647349
-1019.123244,14,64.670722
696.419565,116,64.825224
618.230375,107,64.969913
-861.999232,19,74.191757
1973.335903,110,74.328601
649.947006,68,74.432973
-519.38477,59,74.506685
-914.807578,69,74.598168
-825.986743,21,74.624678
3421.023564,178,74.847936
1312.119454,117,75.007422
-85.537112,131,83.7394
1040.251748,105,83.923024
1302.128387,102,84.108136
-1071.084756,27,84.178617
-637.86526,43,84.264152
-617.344668,29,84.323602
1842.634873,150,84.593044
2261.546096,134,84.887583
908.988005,101,93.158437
2340.012628,141,93.356753
3107.083438,143,93.541901
0.50838,66,93.623699
-964.560126,46,93.680857
-464.986468,34,93.727047
-460.954528,55,93.806959
-260.014161,82,93.908452
2390.772358,142,103.052085
-737.955343,37,103.104009
2085.896786,116,103.250844
-786.809145,22,103.290612
-405.477957,48,103.348634
103.658984,70,103.435069
-943.620941,17,103.462531
-870.334522,29,103.501638
-876.767608,28,112.71198
-368.340599,44,112.766411
-213.722543,75,112.875902
3779.504772,208,113.151675
-1017.304404,79,113.247918
1842.991058,118,113.40314
-753.320834,78,113.504503
1469.622764,108,113.643265
2030.250039,145,121.930955
3172.904201,183,122.282377
809.989524,109,122.513768
-950.570432,24,122.55342
1499.301603,59,122.665575
3735.063119,232,123.067014
3324.442247,203,123.448793
2679.688461,193,123.776872
2235.124857,128,132.515781
-533.595161,30,132.552374
-32.153618,74,132.645415
-260.858251,108,132.792418
2460.850969,146,132.975577
3185.352015,173,133.214563
-5.844446,65,133.303776
-890.183671,42,133.371784
2737.320773,128,142.505745
2800.263164,108,142.658535
-668.518846,40,142.71229
-556.597136,39,142.758838
2682.960071,175,142.989876
3119.910811,209,143.263604
-852.559401,31,143.308595
-1169.386278,43,143.36614
3568.703601,157,152.674445
-683.756025,70,152.762521
-1162.214431,61,152.835107
-945.434251,37,152.888451
-924.321243,21,152.93021
2043.09255,114,153.069954
-875.521996,25,153.100206
1282.367871,120,153.273777
2080.67955,150,161.385375
3495.957776,162,161.607111
-881.417644,23,161.635856
2076.90093,110,161.791695
1256.246631,102,161.918786
-1017.004449,71,162.008437
-570.28123,66,162.102122
-840.404735,27,162.140559
2174.692044,168,171.479742
2301.342312,116,171.621306
2642.890508,149,171.815301
2955.564921,163,172.032326
-684.452387,29,172.085243
-1428.71048,115,172.22469
-937.245742,24,172.265768
-1030.015089,54,172.34485
-861.883081,29,181.33632
2460.807949,129,181.494878
-549.547124,66,181.586011
-918.644019,68,181.689443
-931.636851,20,181.721313
3107.238946,176,181.94726
-897.220017,24,181.979067
-857.354936,25,182.012171
-742.364876,30,190.420866
1425.898893,136,190.65247
-725.289793,25,190.699748
-868.826143,25,190.752798
2724.303233,144,190.99483
1794.210559,113,191.21191
3214.248957,201,191.565306
-879.967574,34,191.635097
3361.257803,187,200.310656
1441.324032,81,200.42643
-1279.122014,73,200.523868
2392.209415,137,200.714013
-1438.048573,54,200.789408
96.643091,99,200.922003
3348.471944,164,201.123081
-706.678937,42,201.192018
-954.356385,29,210.51525
1433.896078,125,210.674838
-903.821709,28,210.71258
896.745175,116,210.864251
2740.093888,197,211.103428
-418.765478,63,211.191622
-914.11832,17,211.222586
897.941492,68,211.317713
3028.436207,152,220.537467
3679.103505,222,220.826007
-1098.278963,61,220.914219
-520.176316,31,220.954468
922.090793,113,221.102653
2649.575032,146,221.285641
1933.967087,161,221.494876
-956.664531,21,221.527029
-1340.95396,50,229.547247
2547.404193,145,229.730261
-818.177956,22,229.780552
3374.794608,188,230.138544
2195.858144,172,230.468565
3782.890923,180,230.770313
-880.055671,23,230.808086
-846.245829,35,230.885252
-652.468957,41,239.871417
3258.907236,159,240.077054
3548.719855,221,240.361887
-805.837186,29,240.399157
2951.967531,185,240.63853
-814.323954,52,240.703434
-1285.060457,94,240.836349
-735.290381,47,240.906191
-620.512744,47,249.818405
-415.44035,38,249.878463
2912.871689,146,250.054974
-813.922069,28,250.096518
2643.077697,143,250.303203
2127.37354,197,250.551637
-606.097139,28,250.584742
3004.994956,187,250.823074
-339.627247,78,259.982653
-731.204524,23,260.035107
-771.925583,41,260.117052
2701.566206,160,260.367043
-915.042979,30,260.406915
-199.636209,61,260.48244
-485.287097,46,260.551099
3262.688343,168,260.754375
2404.575413,170,269.06741
2701.367695,163,269.277111
925.051439,67,269.387084
3385.770749,221,269.669152
3202.593014,146,269.84997
1353.611955,123,270.004979
-801.659555,45,270.060935
532.606093,54,270.141774
-578.815902,40,279.427595
-1172.297369,38,279.485243
-827.416212,20,279.516252
-1182.304091,33,279.561623
484.937011,109,279.718496
2267.354937,146,279.928953
3006.555402,157,280.120075
3210.195791,169,280.338173
-1056.118149,46,289.496887
1172.506945,106,289.640118
666.003373,102,289.775965
2055.365702,117,289.928901
-725.685197,29,289.976004
1132.775836,126,290.134029
-438.715621,51,290.198586
1918.723906,118,290.352908
2103.484732,139,299.044941
-952.022417,60,299.14236
2944.999827,162,299.446489
2220.656169,171,299.750222
785.172795,58,299.873825
-691.409791,66,300.05668
-406.34383,40,300.136927
2823.945717,177,300.475033
1613.816456,123,308.894058
